H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
He+         C9                      C7+         C2          He                      1.50E-09     0.00      0.0   10.41000.  5 C IN
He+         C9                      C8+         C           He                      1.50E-09     0.00      0.0   10.41000.  5 C IN
N           C9                      CN          C8                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
H3+         C9                      C9H+        H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H+          C9                      C9+         H                                   4.00E-09     0.00      0.0   10.  300.  5 C CE
C+          C9                      C10+                                            1.00E-09     0.00      0.0   10.  300.  5 C RA
HCO+        C9                      C9H+        CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
C9                                  C8          C                                   1.30E-17     0.00    500.0   10.41000.  2 B CR
H3+         H2CS                    H3CS+       H2                                  2.80E-09    -0.50      0.0   10.41000.  5 C IN
C+          H2CS                    CS          CH2+                                1.50E-09    -0.50      0.0   10.41000.  5 C IN
He+         H2CS                    S+          CH2         He                      8.10E-10    -0.50      0.0   10.41000.  5 C IN
He+         H2CS                    CS+         He          H2                      8.10E-10    -0.50      0.0   10.41000.  5 C IN
He+         H2CS                    S           CH2+        He                      8.10E-10    -0.50      0.0   10.41000.  5 C IN
H+          H2CS                    H2CS+       H                                   4.70E-09    -0.50      0.0   10.41000.  5 C CE
HCO+        H2CS                    H3CS+       CO                                  1.10E-09    -0.50      0.0   10.41000.  5 C IN
CH3         S                       H2CS        H                                   1.40E-10     0.00      0.0   10.  300.  5 C NN
C           C5H2+                   C6+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C5H2+                   C6H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
O           C5H2+                   C4H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C5H2+       E-                      C5H         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C5H2+       E-                      C5          H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
N           C5H2+                   HC5N+       H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
CH3+        C4H                     C5H2+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C5H                     C5H2+       H2                                  4.00E-09    -0.50      0.0   10.41000.  5 C IN
H2          C5H+                    C5H2+       H                                   1.00E-17     0.00      0.0   10.41000.  5 C IN
HCO+        C5H                     C5H2+       CO                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H         C3H2+                   C5H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C2N                     C2          CN                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C2N                     CN          CN                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C2N                     CO          CN                                  6.00E-12     0.00      0.0  298.  298.  5 A NN
N           C2H                     C2N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
C2NH+       E-                      C2N         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
O           C5N                     C4N         CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
N           C5N                     CN          C4N                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
H2C5N+      E-                      C5N         H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
N           C5H                     C5N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
C+          HC5N                    C5H+        CN                                  6.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         HC5N                    H2C5N+      H2                                  8.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        HC5N                    H2C5N+      CO                                  8.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         HC5N                    C4H+        CN          He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         HC5N                    C3N         C2H+        He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          HC5N                    HC5N+       H                                   4.00E-09    -0.50      0.0   10.41000.  5 C CE
CH3+        HC5N                    CH3C5NH+                                        8.60E-11    -1.40      0.0   10.  300.  5 C RA
H2C5N+      E-                      HC5N        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2          HC4N+                   H2C4N+      H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           SiC2H2+                 SiC3H+      H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
SiC2H2+     E-                      SiC2H       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           SiCH3+                  SiC2H2+     H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
C2H3+       Si                      SiC2H2+     H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C2H4+       Si                      SiC2H2+     H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
SiC4+       E-                      SiC3        C                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
Si          C4H2+                   SiC4+       H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
C           SiC3H+                  SiC4+       H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
SiC4H+      E-                      SiC3        CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiC3H+      E-                      SiC3        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiC3H2+     E-                      SiC3        H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
O           SiC4                    SiC3        CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
C           SiC3H2+                 SiC4H+      H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
SiC3H2+     E-                      SiC3H       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
Si          H2C3H+                  SiC3H2+     H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
Si          C3H3+                   SiC3H2+     H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
H3O+        SiC2H                   SiC2H2+     H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         SiC2H                   SiC2+       He          H                       1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         SiC2H                   Si+         C2H         He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         SiC2H                   SiC2H2+     H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          SiC2H                   SiC3+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          SiC2H                   SiC2H+      C                                   1.00E-09    -0.50      0.0   10.  300.  5 C CE
C+          SiC2H2                  SiC3H+      H                                   2.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         SiC2H2                  SiC2H+      He          H                       1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         SiC2H2                  SiH+        C2H         He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         SiC2H2                  SiC2H3+     H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        SiC2H2                  SiC2H3+     CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiC2H2                  SiC2H+      H2                                  1.50E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiC2H2                  SiC2H2+     H                                   1.50E-09    -0.50      0.0   10.  300.  5 C CE
SiCH4+      E-                      SiCH2       H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiCH4+      E-                      SiCH3       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH5+        Si                      SiCH4+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
H3O+        C3S                     HC3S+       H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         C3S                     CS+         C2          He                      5.00E-10    -0.50      0.0   10.41000.  5 C IN
He+         C3S                     CS          C2+         He                      5.00E-10    -0.50      0.0   10.41000.  5 C IN
H3+         C3S                     HC3S+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C3S                     C4+         S                                   5.00E-10    -0.50      0.0   10.41000.  5 C IN
C+          C3S                     C3S+        C                                   5.00E-10    -0.50      0.0   10.  300.  5 C CE
H3O+        C4S                     HC4S+       H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         C4S                     CS+         C3          He                      5.00E-10    -0.50      0.0   10.41000.  5 C IN
He+         C4S                     CS          C3+         He                      5.00E-10    -0.50      0.0   10.41000.  5 C IN
H3+         C4S                     HC4S+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C4S                     C5+         S                                   5.00E-10    -0.50      0.0   10.41000.  5 C IN
C+          C4S                     C4S+        C                                   5.00E-10    -0.50      0.0   10.  300.  5 C CE
H2CS+       E-                      CS          H           H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
H2CS+       E-                      HCS         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
H3+         HCS                     H2CS+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H2          HC5N+                   H2C5N+      H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
H2          C5N+                    HC5N+       H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
N           C2H3+                   C2NH+       H2                                  2.20E-10     0.00      0.0   10.41000.  5 C IN
N           C4N                     CN          C3N                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C4N                     C3N         CO                                  6.00E-12     0.00      0.0   10.  300.  5 C NN
N           C4H                     C4N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
C           CH3C5NH+                H3C7N+      H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
CH3C5NH+    E-                      HC5N        CH3                                 1.00E-06    -0.30      0.0   10.  300.  5 C DR
CH3C5NH+    E-                      CH3C5N      H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
N           C4H2+                   HC4N+       H                                   9.50E-12     0.00      0.0   10.41000.  5 B IN
SiC3H+      E-                      C3H         Si                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
Si          C3H2+                   SiC3H+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
Si          H2C3H+                  SiC3H+      H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
Si          C3H3+                   SiC3H+      H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
SiCH3+      E-                      HCSi        H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiCH3+      E-                      SiCH2       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH5+        Si                      SiCH3+      H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
SiC4H+      E-                      SiC4        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
Si          C4H2+                   SiC4H+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C+          SiC3H                   SiC4+       H                                   2.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         SiC3H                   SiC3+       He          H                       1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         SiC3H                   C3H         Si+         He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         SiC3H                   SiC3H2+     H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        SiC3H                   SiC3H2+     CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiC3H                   SiC3+       H2                                  1.50E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiC3H                   SiC3H+      H                                   1.50E-09    -0.50      0.0   10.  300.  5 C CE
He+         SiCH2                   SiH+        CH          He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
He+         SiCH2                   HCSi+       He          H                       1.00E-09     0.00      0.0   10.41000.  5 C IN
H3+         SiCH2                   SiCH3+      H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
C+          SiCH2                   SiC2H+      H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          SiCH2                   SiC2+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          SiCH2                   SiCH2+      C                                   1.00E-09     0.00      0.0   10.  300.  5 C CE
HCO+        SiCH2                   SiCH3+      CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H+          SiCH2                   SiCH2+      H                                   1.50E-09     0.00      0.0   10.  300.  5 C CE
H+          SiCH2                   HCSi+       H2                                  1.50E-09     0.00      0.0   10.41000.  5 C IN
CH3         Si                      SiCH2       H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H3O+        SiCH3                   SiCH4+      H2O                                 2.00E-09     0.00      0.0   10.41000.  5 C IN
He+         SiCH3                   SiCH2+      He          H                       1.00E-09     0.00      0.0   10.41000.  5 C IN
He+         SiCH3                   SiH+        CH2         He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
H3+         SiCH3                   SiCH4+      H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
C+          SiCH3                   SiC2H2+     H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          SiCH3                   SiC2H+      H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          SiCH3                   SiCH3+      C                                   1.00E-09     0.00      0.0   10.  300.  5 C CE
C4S+        E-                      CS          C3                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
C4S+        E-                      C2S         C2                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
C4S+        E-                      C3S         C                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
S+          C4H                     C4S+        H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
N           C5H+                    C5N+        H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
H3C7N+      E-                      C7N         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
H3C7N+      E-                      HC7N        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C4H2+       HC3N                    H3C7N+                                          2.00E-12    -2.50      0.0   10.  300.  5 C RA
N           C7H5+                   H3C7N+      H2                                  1.00E-10     0.00      0.0   10.41000.  5 C IN
He+         CH3C5N                  C5N         CH3+        He                      7.00E-08    -0.50      0.0   10.41000.  5 C IN
O           C7N                     C6          OCN                                 4.00E-11     0.00      0.0   10.  300.  5 C NN
N           C7N                     C2N         C5N                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
H2C7N+      E-                      C7N         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
He+         HC7N                    C6H+        CN          He                      7.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          HC7N                    C7H+        CN                                  6.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         HC7N                    H2C7N+      H2                                  9.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          HC7N                    HC7N+       H                                   1.00E-08    -0.50      0.0   10.  300.  5 C CE
HCO+        HC7N                    H2C7N+      CO                                  4.00E-09    -0.50      0.0   10.41000.  5 C IN
H2C7N+      E-                      HC7N        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C7H5+       E-                      C7H2        H2          H                       3.50E-07    -0.30      0.0   10.  300.  5 C DR
C7H5+       E-                      CH3C6H      H                                   3.50E-07    -0.30      0.0   10.  300.  5 C DR
CH4         C6H2+                   C7H5+       H                                   8.00E-10     0.00      0.0   10.41000.  5 C IN
H2          HC7N+                   H2C7N+      H                                   5.00E-12     0.00      0.0   10.  300.  5 C IN
H2          C7N+                    HC7N+       H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
C           C7H2                    C8H         H                                   8.40E-10     0.00      0.0   10.  300.  5 A NN
C7H3+       E-                      C7H2        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
CH3C6H+     E-                      C7H2        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
O           C8H3+                   C7H2        HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C           CH3C6H                  C8H2        H2                                  8.00E-10     0.17      0.0   10.  300.  5 A NN
N           C7H+                    C7N+        H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C7H3+       E-                      C7H         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C7H3+                   C8H+        H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C7H3+                   C8H2+       H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
O           C7H3+                   C6H2        HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
N           C7H3+                   H2C7N+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C3H2        C4H2+                   C7H3+       H                                   2.20E-09    -0.50      0.0   10.41000.  5 C IN
H2C3H+      C4H                     C7H3+       H                                   7.50E-10    -0.50      0.0   10.41000.  5 C IN
C2H3+       C5H                     C7H3+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C3H3+       C4H                     C7H3+       H                                   7.50E-10    -0.50      0.0   10.41000.  5 C IN
H2CCC       C4H2+                   C7H3+       H                                   2.20E-09    -0.50      0.0   10.41000.  5 C IN
CH3C6H+     E-                      C7H         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
CH4         C6H2+                   CH3C6H+     H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
C2H4+       C5H                     CH3C6H+     H                                   7.00E-10    -0.50      0.0   10.41000.  5 C IN
C8H3+       E-                      C8H         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C8H3+       E-                      C8H2        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C8H3+                   C9H+        H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C8H3+                   C9H2+       H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
H2C3H+      C5H                     C8H3+       H                                   1.50E-09    -0.50      0.0   10.41000.  5 C IN
C2H3+       C6H                     C8H3+       H                                   5.00E-10    -0.50      0.0   10.41000.  5 C IN
C3H3+       C5H                     C8H3+       H                                   1.50E-09    -0.50      0.0   10.41000.  5 C IN
C2H3        C6H2+                   C8H3+       H2                                  8.00E-10    -0.50      0.0   10.41000.  5 C IN
C           C8H2                    C9H         H                                   9.00E-10     0.00      0.0   10.  300.  5 A NN
O           C9H3+                   C8H2        HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C8H4+       E-                      C8H2        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C6H2                    C7H         H                                   7.40E-10     0.00      0.0   10.  300.  5 A NN
C6H4+       E-                      C6H2        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           CH3C4H                  C6H2        H2                                  6.50E-10     0.00      0.0   10.  300.  5 A NN
C6H3+       E-                      C6H2        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C2H2        C4H                     C6H2        H                                   3.00E-10     0.00      0.0   50.   50.  5 B NN
C           H2CCC                   C4H         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           H2CCC                   CO          C2H2                                5.00E-11     0.50      0.0   10.  300.  5 C NN
H2C3H+      E-                      H2CCC       H                                   5.00E-08    -0.50      0.0   10.  300.  5 A DR
C           C9H2+                   C10+        H2                                  1.00E-09     0.00      0.0   10.  300.  5 C IN
C9H2+       E-                      C9          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C9H2+       E-                      C9H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
O           C9H2+                   C8H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C4H2+       C5H                     C9H2+       H                                   2.50E-09    -0.50      0.0   10.41000.  5 C IN
C3H         C6H2+                   C9H2+       H                                   2.00E-09    -0.50      0.0   10.41000.  5 C IN
CH3+        C8H                     C9H2+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C           C9H                     C10         H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
O           C9H                     C8H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
C9H3+       E-                      C9H         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C9H4+       E-                      C9H         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
C9H3+       E-                      C9H2        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
N           C9H3+                   H2C9N+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C3H2        C6H2+                   C9H3+       H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
H2C3H+      C6H                     C9H3+       H                                   7.50E-10    -0.50      0.0   10.41000.  5 C IN
C3H3+       C6H                     C9H3+       H                                   7.50E-10    -0.50      0.0   10.41000.  5 C IN
C2H3+       C7H                     C9H3+       H                                   1.10E-09    -0.50      0.0   10.41000.  5 C IN
H2CCC       C6H2+                   C9H3+       H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
C8H4+       E-                      C8H         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
C2H4+       C6H                     C8H4+       H                                   2.50E-10    -0.50      0.0   10.41000.  5 C IN
C2H3        C6H2+                   C8H4+       H                                   4.00E-10    -0.50      0.0   10.41000.  5 C IN
C6H4+       E-                      C6H         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
C2H2        C4H2+                   C6H4+                                           1.00E-09     0.00      0.0   10.  300.  5 C RA
C2H3        C4H2+                   C6H4+       H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
C2H4+       C4H                     C6H4+       H                                   2.50E-10    -0.50      0.0   10.41000.  5 C IN
C3H2        H2C3H+                  C6H4+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C5H5+       E-                      CH3C4H      H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
C6H3+       E-                      C6H         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C6H3+                   C7H+        H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C6H3+                   C7H2+       H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
O           C6H3+                   C5H2        HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C3H         H2C3H+                  C6H3+       H                                   1.50E-09    -0.50      0.0   10.41000.  5 C IN
C2H3+       C4H                     C6H3+       H                                   4.00E-10    -0.50      0.0   10.41000.  5 C IN
C3H         C3H3+                   C6H3+       H                                   1.50E-09    -0.50      0.0   10.41000.  5 C IN
C3H2+       C3H2                    C6H3+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C3H2        H2C3H+                  C6H3+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
O           C10                     CO          C9                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C9H4+       E-                      C9H2        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
CH4         C8H2+                   C9H4+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          C9H2                    C10+        H2                                  2.40E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C9H2                    C9H3+       H2                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         C9H2                    C9+         He          H2                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         C9H2                    C9H+        He          H                       1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         C9H2                    C7H+        C2H         He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        C9H2                    C9H3+       CO                                  2.50E-09    -0.50      0.0   10.41000.  5 C IN
H+          C9H2                    C9H+        H2                                  2.50E-09    -0.50      0.0   10.41000.  5 C IN
H+          C9H2                    C9H2+       H                                   2.50E-09    -0.50      0.0   10.  300.  5 C CE
H2C9N+      E-                      C9N         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2C9N+      E-                      HC9N        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2          HC9N+                   H2C9N+      H                                   5.00E-12     0.00      0.0   10.  300.  5 C IN
C5H5+       E-                      C5H2        H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
CH4         C4H2+                   C5H5+       H                                   5.00E-10     0.00      0.0   10.41000.  5 C IN
C7H2+       E-                      C7          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C7H2+       E-                      C7H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C7H2+                   C8+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C7H2+                   C8H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
O           C7H2+                   C6H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
N           C7H2+                   HC7N+       H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C3H         C4H2+                   C7H2+       H                                   2.50E-09    -0.50      0.0   10.41000.  5 C IN
CH3+        C6H                     C7H2+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H2          C7H+                    C7H2+       H                                   1.00E-17     0.00      0.0   10.  300.  5 C IN
H3+         C7H                     C7H2+       H2                                  4.00E-09    -0.50      0.0   10.41000.  5 C IN
C3H2+       C4H                     C7H2+       H                                   5.00E-10    -0.50      0.0   10.41000.  5 C IN
C           C5H2                    C6H         H                                   5.30E-10     0.00      0.0   10.  300.  5 A NN
CH3C4H+     E-                      C5H2        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C5H3+       E-                      C5H2        H                                   4.50E-07    -0.50      0.0   10.  300.  5 B DR
C2H         C3H2                    C5H2        H                                   1.06E-10    -0.25      0.0   10.  300.  5 C NN
O           C9N                     C8          OCN                                 4.00E-11     0.00      0.0   10.  300.  5 C NN
N           C9N                     C2N         C7N                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
He+         HC9N                    C8H+        CN          He                      7.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          HC9N                    C9H+        CN                                  6.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         HC9N                    H2C9N+      H2                                  1.00E-08    -0.50      0.0   10.41000.  5 C IN
H+          HC9N                    HC9N+       H                                   1.00E-08    -0.50      0.0   10.  300.  5 C CE
HCO+        HC9N                    H2C9N+      CO                                  4.00E-09    -0.50      0.0   10.41000.  5 C IN
H2          C9N+                    HC9N+       H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
CH3C4H+     E-                      C5H         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
CH4         C4H2+                   CH3C4H+     H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
C2H4+       C3H                     CH3C4H+     H                                   6.30E-10    -0.50      0.0   10.41000.  5 C IN
C2H3+       C3H2                    CH3C4H+     H                                   8.00E-10    -0.50      0.0   10.41000.  5 C IN
C           C5H3+                   C6H+        H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C5H3+                   C6H2+       H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
O           C5H3+                   H2CCCC      HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C5H3+       E-                      C5H         H2                                  4.50E-07    -0.50      0.0   10.  300.  5 B DR
C2H3+       C3H                     C5H3+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H         H2C3H+                  C5H3+       H                                   7.50E-10     0.00      0.0   10.41000.  5 C IN
C2H         C3H3+                   C5H3+       H                                   7.50E-10     0.00      0.0   10.41000.  5 C IN
C2H3+       C3H2                    C5H3+       H2                                  8.00E-10    -0.50      0.0   10.41000.  5 C IN
C2H2        C3H2+                   C5H3+       H                                   5.50E-10     0.00      0.0   10.41000.  5 A IN
N           C9H+                    C9N+        H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C+          NH3                     NH3+        C                                   5.06E-10    -0.50      0.0   10.41000.  5 A CE
NH3         CN                      HCN         NH2                                 3.41E-11    -0.90     -9.9   25.  761.  5 B NN
NH3         S+                      S           NH3+                                1.44E-09    -0.50      0.0   10.41000.  5 A CE
C+          H2S                     H2S+        C                                   6.00E-10    -0.50      0.0   10.41000.  5 A CE
H           HCO                     CO          H2                                  2.00E-10     0.00      0.0  300. 2500.  5 A NN
C2H3+       E-                      C2H         H2                                  3.00E-08    -0.84      0.0   50. 1000.  5 A DR
H           CH2                     CH          H2                                  6.64E-11     0.00      0.0  300. 2500.  5 A NN
