H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
He+         HCP                     P+          CH          He                      5.00E-10     0.00      0.0   10.41000.  5 C IN
O           HC2P                    HCP         CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
O           CCP                     CP          CO                                  6.00E-12     0.00      0.0   10.  300.  5 C NN
PC3H+       E-                      CCP         CH                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
O           C3P                     CCP         CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
O           C4P                     C3P         CO                                  1.00E-11     0.00      0.0   10.  300.  5 C NN
PC3H+       E-                      C3P         H                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
H2          HC9N+                   H2C9N+      H                                   5.00E-12     0.00      0.0   10.  300.  5 C IN
CH2CO+      E-                      C2H2        O                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
CH2CO+      E-                      CO          CH2                                 2.00E-07    -0.50      0.0   10.  300.  5 C DR
CH2CO+      E-                      C2          H2O                                 2.00E-07    -0.50      0.0   10.  300.  5 C DR
OH          C2H2+                   CH2CO+      H                                   6.40E-10    -0.50      0.0   10.41000.  5 C IN
C           C4H3+                   C5H+        H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C4H3+                   C5H2+       H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
C4H3+       E-                      C4H         H2                                  3.10E-07    -0.50      0.0   10.  300.  5 A DR
H           C4H2+                   C4H3+                                           7.00E-11    -0.10      0.0   10.  300.  5 A RA
C2H         C2H3+                   C4H3+       H                                   3.30E-10     0.00      0.0   10.41000.  5 C IN
HC3NH+      E-                      C2H2        CN                                  7.20E-07    -0.58      0.0   10.  300.  5 C DR
N           H2C3H+                  HC3NH+      H                                   1.30E-10     0.00      0.0   10.41000.  5 C IN
H2          HC3N+                   HC3NH+      H                                   5.00E-12     0.00      0.0   10.41000.  5 A IN
H2          HC3N+                   HCN         C2H2+                               2.00E-12     0.00      0.0   10.41000.  5 A IN
H2          C3N+                    HC3N+       H                                   1.50E-09     0.00      0.0   10.41000.  5 A IN
N           C3H+                    C3N+        H                                   2.70E-10     0.00      0.0   10.41000.  5 B IN
H2          C4N+                    C3H+        HCN                                 2.20E-11     0.00      0.0   10.41000.  5 B IN
C           C7H2+                   C8+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C7H2+                   C8H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
O           C7H2+                   C6H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
N           C7H2+                   HC7N+       H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C7H2+       E-                      C7          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2          C7H+                    C7H2+       H                                   1.00E-17     0.00      0.0   10.  300.  5 C IN
HCO+        C7H                     C7H2+       CO                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
C3H         C4H2+                   C7H2+       H                                   2.50E-09    -0.50      0.0   10.41000.  5 C IN
C2H3+       C5H                     C7H2+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C7H                     C7H2+       H2                                  4.00E-09    -0.50      0.0   10.41000.  5 C IN
CH3+        C6H                     C7H2+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C6H4+       E-                      C6H         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
C2H2        C4H2+                   C6H4+                                           1.00E-09     0.00      0.0   10.  300.  5 C RA
C2H4+       C4H                     C6H4+       H                                   2.50E-10    -0.50      0.0   10.41000.  5 C IN
C3H2        H2C3H+                  C6H4+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C3H2        C3H3+                   C6H4+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
H2          H2C4N+                  CH3C3N+     H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
He+         CH3C5N                  C5N         CH3+        He                      7.00E-08    -0.50      0.0   10.41000.  5 C IN
H+          CH3C5N                  HC5N        CH3+                                9.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          CH3C5N                  C6H3+       CN                                  5.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        CH3C5N                  CH3C5NH+    CO                                  4.00E-09    -0.50      0.0   10.41000.  5 C IN
C           C9H2+                   C10+        H2                                  1.00E-09     0.00      0.0   10.  300.  5 C IN
O           C9H2+                   C8H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
N           C9H2+                   HC9N+       H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C9H2+       E-                      C9          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2          C9H+                    C9H2+       H                                   1.00E-17     0.00      0.0   10.  300.  5 C IN
C4H2+       C5H                     C9H2+       H                                   2.50E-09    -0.50      0.0   10.41000.  5 C IN
C3H         C6H2+                   C9H2+       H                                   2.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H3+       C7H                     C9H2+       H2                                  1.10E-09    -0.50      0.0   10.41000.  5 C IN
C           C9H                     C10         H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
O           C9H                     C8H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
C9H2+       E-                      C9H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C9H4+       E-                      C9H         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
N           C9H3+                   H2C9N+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C9H3+       E-                      C9H         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C9H3+       E-                      C9H2        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C2H3+       C7H                     C9H3+       H                                   1.10E-09    -0.50      0.0   10.41000.  5 C IN
C3H2        C6H2+                   C9H3+       H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
H2C3H+      C6H                     C9H3+       H                                   7.50E-10    -0.50      0.0   10.41000.  5 C IN
C3H3+       C6H                     C9H3+       H                                   7.50E-10    -0.50      0.0   10.41000.  5 C IN
C3S+        E-                      C3          S                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
C3S+        E-                      CS          C2                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
C3S+        E-                      C2S         C                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
C4S+        E-                      CS          C3                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
C4S+        E-                      C2S         C2                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
C4S+        E-                      C3S         C                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
S+          C4H                     C4S+        H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
SiC4+       E-                      SiC3        C                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiC4H+      E-                      SiC3        CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
O           SiC4                    SiC3        CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
SiC3H+      E-                      SiC3        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiC3H2+     E-                      SiC3        H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           SiC3H+                  SiC4+       H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
Si          C4H2+                   SiC4+       H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
C           SiC2H3+                 SiC3H2+     H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
SiC2H3+     E-                      SiC2H       H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiC2H3+     E-                      SiC2H2      H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           SiCH4+                  SiC2H3+     H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
C2H4+       Si                      SiC2H3+     H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
N           PO                      PN          O                                   3.00E-11    -0.60      0.0   10.  300.  5 C NN
HPO+        E-                      PO          H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
CCP+        E-                      P           C2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
CCP+        E-                      CP          C                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H+          CCP                     CCP+        H                                   1.00E-09    -0.50      0.0   10.41000.  5 C CE
C+          CCP                     CCP+        C                                   5.00E-10    -0.50      0.0   10.41000.  5 C CE
He+         C4P                     CCP+        C2          He                      5.00E-10    -0.50      0.0   10.41000.  5 C IN
PC3H+       E-                      HC2P        C                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
P           C3H2+                   PC3H+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
H2C9N+      E-                      C9N         H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2C9N+      E-                      HC9N        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C5H2+                   C6+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C5H2+                   C6H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
O           C5H2+                   C4H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
N           C5H2+                   HC5N+       H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
H2          C5H+                    C5H2+       H                                   1.00E-17     0.00      0.0   10.41000.  5 C IN
C2H         C3H2+                   C5H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
HCO+        C5H                     C5H2+       CO                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H         H2C3H+                  C5H2+       H2                                  7.50E-10     0.00      0.0   10.41000.  5 C IN
C2H         C3H3+                   C5H2+       H2                                  7.50E-10     0.00      0.0   10.41000.  5 C IN
H2          HC4N+                   H2C4N+      H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           C10                     CO          C9                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C9H4+       E-                      C9H2        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
N           C9H4+                   H3C9N+      H                                   1.00E-10     0.00      0.0   10.41000.  5 C IN
CH4         C8H2+                   C9H4+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          C9H2                    C10+        H2                                  2.40E-09    -0.50      0.0   10.41000.  5 C IN
H+          C9H2                    C9H+        H2                                  2.50E-09    -0.50      0.0   10.41000.  5 C IN
H+          C9H2                    C9H2+       H                                   2.50E-09    -0.50      0.0   10.  300.  5 C CE
HCO+        C9H2                    C9H3+       CO                                  2.50E-09    -0.50      0.0   10.41000.  5 C IN
He+         C9H2                    C7H+        C2H         He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         C9H2                    C9+         He          H2                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         C9H2                    C9H+        He          H                       1.00E-09    -0.50      0.0   10.41000.  5 C IN
SiC4H+      E-                      SiC4        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
Si          C4H2+                   SiC4H+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C           SiC3H2+                 SiC4H+      H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
SiC3H+      E-                      C3H         Si                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           SiC2H2+                 SiC3H+      H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
Si          C3H2+                   SiC3H+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
Si          H2C3H+                  SiC3H+      H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
Si          C3H3+                   SiC3H+      H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
SiC3H2+     E-                      SiC3H       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
Si          H2C3H+                  SiC3H2+     H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
Si          C3H3+                   SiC3H2+     H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
H3O+        SiC2H                   SiC2H2+     H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        SiC2H                   SiC2H2+     CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiC2H                   SiC2+       H2                                  1.50E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiC2H                   SiC2H+      H                                   1.50E-09    -0.50      0.0   10.  300.  5 C CE
C+          SiC2H                   SiC3+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          SiC2H                   SiC2H+      C                                   1.00E-09    -0.50      0.0   10.  300.  5 C CE
He+         SiC2H                   SiC2+       He          H                       1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         SiC2H                   Si+         C2H         He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
SiC2H2+     E-                      SiC2H       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C+          SiC2H2                  SiC3H+      H                                   2.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        SiC2H2                  SiC2H3+     CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiC2H2                  SiC2H+      H2                                  1.50E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiC2H2                  SiC2H2+     H                                   1.50E-09    -0.50      0.0   10.  300.  5 C CE
He+         SiC2H2                  SiC2H+      He          H                       1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         SiC2H2                  SiH+        C2H         He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
SiCH4+      E-                      SiCH2       H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiCH4+      E-                      SiCH3       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH5+        Si                      SiCH4+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
H3O+        PN                      HPN+        H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         PN                      P+          N           He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          PN                      PN+         H                                   1.00E-09    -0.50      0.0   10.41000.  5 C CE
HCO+        PN                      HPN+        CO                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
N           PH                      PN          H                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
O           C9N                     C8          OCN                                 4.00E-11     0.00      0.0   10.  300.  5 C NN
N           C9N                     C2N         C7N                                 1.00E-10     0.00      0.0   10.  300.  5 C NN
H+          HC9N                    HC9N+       H                                   1.00E-08    -0.50      0.0   10.  300.  5 C CE
C+          HC9N                    C9H+        CN                                  6.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         HC9N                    C8H+        CN          He                      7.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        HC9N                    H2C9N+      CO                                  4.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         HC9N                    H2C9N+      H2                                  1.00E-08    -0.50      0.0   10.41000.  5 C IN
N           C4H2+                   HC4N+       H                                   9.50E-12     0.00      0.0   10.41000.  5 B IN
H3C9N+      E-                      C9N         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
H3C9N+      E-                      HC9N        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           CH3C7NH+                H3C9N+      H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
C4H2+       HC5N                    H3C9N+                                          2.00E-12    -2.50      0.0   10.  300.  5 C RA
SiC2H2+     E-                      SiC2        H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           SiCH3+                  SiC2H2+     H                                   2.00E-10     0.00      0.0   10.  300.  5 C IN
C2H3+       Si                      SiC2H2+     H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
C+          SiC3H                   SiC4+       H                                   2.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        SiC3H                   SiC3H2+     CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiC3H                   SiC3+       H2                                  1.50E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiC3H                   SiC3H+      H                                   1.50E-09    -0.50      0.0   10.  300.  5 C CE
He+         SiC3H                   SiC3+       He          H                       1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         SiC3H                   C3H         Si+         He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        SiCH2                   SiCH3+      CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H+          SiCH2                   HCSi+       H2                                  1.50E-09     0.00      0.0   10.41000.  5 C IN
H+          SiCH2                   SiCH2+      H                                   1.50E-09     0.00      0.0   10.  300.  5 C CE
C+          SiCH2                   SiC2H+      H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          SiCH2                   SiC2+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          SiCH2                   SiCH2+      C                                   1.00E-09     0.00      0.0   10.  300.  5 C CE
He+         SiCH2                   HCSi+       He          H                       1.00E-09     0.00      0.0   10.41000.  5 C IN
He+         SiCH2                   SiH+        CH          He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
SiCH3+      E-                      SiCH2       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3         Si                      SiCH2       H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H3O+        SiCH3                   SiCH4+      H2O                                 2.00E-09     0.00      0.0   10.41000.  5 C IN
HCO+        SiCH3                   SiCH4+      CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H+          SiCH3                   SiCH2+      H2                                  1.50E-09     0.00      0.0   10.41000.  5 C IN
H+          SiCH3                   SiCH3+      H                                   1.50E-09     0.00      0.0   10.  300.  5 C CE
C+          SiCH3                   SiC2H2+     H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          SiCH3                   SiC2H+      H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          SiCH3                   SiCH3+      C                                   1.00E-09     0.00      0.0   10.  300.  5 C CE
He+         SiCH3                   SiH+        CH2         He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
HPN+        E-                      P           NH                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
HPN+        E-                      PH          N                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
HPN+        E-                      PN          H                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
C           PN+                     PN          C+                                  1.00E-09     0.00      0.0   10.41000.  5 C CE
O           PN+                     PO+         N                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
CH3C7NH+    E-                      HC7N        CH3                                 1.00E-06    -0.30      0.0   10.  300.  5 C DR
CH3C7NH+    E-                      CH3C7N      H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
CH3+        HC7N                    CH3C7NH+                                        8.60E-11    -1.40      0.0   10.  300.  5 C RA
SiCH3+      E-                      HCSi        H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH5+        Si                      SiCH3+      H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
He+         CH3C7N                  C7N         CH3+        He                      7.00E-08    -0.50      0.0   10.41000.  5 C IN
H+          CH3C7N                  HC7N        CH3+                                1.00E-08    -0.50      0.0   10.41000.  5 C IN
C+          CH3C7N                  C8H3+       CN                                  5.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        CH3C7N                  CH3C7NH+    CO                                  4.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          CH3OH                   HCO+        H2          H2                      8.85E-10    -0.50      0.0   10.41000.  5 B IN
C+          CH3OH                   H3CO+       CH                                  5.20E-10    -0.50      0.0   10.41000.  5 A IN
H+          CH3OH                   CH3+        H2O                                 5.90E-10    -0.50      0.0   10.41000.  5 B IN
NH3         HCNH+                   HNC         NH4+                                1.10E-09    -0.50      0.0   10.41000.  5 A IN
NH3         HCNH+                   HCN         NH4+                                1.10E-09    -0.50      0.0   10.41000.  5 A IN
NH3         S+                      S           NH3+                                1.44E-09    -0.50      0.0   10.41000.  5 A CE
NH3         CNC+                    HCNH+       HCN                                 1.90E-09    -0.50      0.0   10.41000.  5 B IN
HCNH+       CH3CN                   CH3CNH+     HCN                                 1.90E-09    -0.50      0.0   10.41000.  5 A IN
HCNH+       CH3CN                   CH3CNH+     HNC                                 1.90E-09    -0.50      0.0   10.41000.  5 A IN
H+          CH3CN                   CH2CN+      H2                                  6.00E-10    -0.50      0.0   10.41000.  5 B IN
H+          HNC                     HCN         H+                                  1.00E-09     0.00      0.0   10.41000.  5 C CD
HN2+        E-                      N2          H                                   3.60E-07    -0.51      0.0   10.  300.  5 A DR
H+          H2S                     S+          H2          H                       3.30E-10    -0.50      0.0   10.41000.  5 A IN
HCN         H3S+                    H2S         HCNH+                               1.50E-09    -0.50      0.0   10.41000.  5 A IN
HCO2+       E-                      CO          O           H                       8.10E-07    -0.64      0.0   10.  300.  5 A DR
C6H+        E-                      C6          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
O           NH2                     OH          NH                                  1.39E-11     0.00     40.0  200. 3000.  5 A NN
HCN         C2H5+                   C2H4        HCNH+                               2.70E-09    -0.50      0.0   10.41000.  5 A IN
NH3+        E-                      NH2         H                                   1.55E-07    -0.50      0.0   10.  300.  5 A DR
H2O         Si+                     SiOH+       H                                   2.30E-10    -0.50      0.0   10.41000.  5 A IN
H           SiH+                    Si+         H2                                  1.90E-09     0.00      0.0   10.41000.  5 C IN
Na          HCNH+                   HCN         Na+         H                       1.35E-09     0.00      0.0   10.41000.  5 C IN
Na          HCNH+                   HNC         Na+         H                       1.35E-09     0.00      0.0   10.41000.  5 C IN
P+          CO2                     PO+         CO                                  4.60E-10     0.00      0.0   10.41000.  5 A IN
CH4         P+                      PCH2+       H2                                  9.60E-10     0.00      0.0   10.41000.  5 A IN
H2O         P+                      HPO+        H                                   4.95E-10    -0.50      0.0   10.41000.  5 A IN
C4H2+       HC3N                    H3C7N+                                          2.00E-12    -2.50      0.0   10.  300.  5 C RA
H2S+        E-                      HS          H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2CO        S+                      HS          HCO+                                3.35E-10    -0.50      0.0   10.41000.  5 A IN
S+          OCS                     S2+         CO                                  9.10E-10     0.00      0.0   10.41000.  5 A IN
C+          NO                      NO+         C                                   5.20E-10     0.00      0.0   10.41000.  5 A CE
C+          SiO                     Si+         CO                                  5.40E-10    -0.50      0.0   10.41000.  5 C IN
HCNH+       HC3N                    HC3NH+      HCN                                 1.70E-09    -0.50      0.0   10.41000.  5 B IN
HCNH+       HC3N                    HC3NH+      HNC                                 1.70E-09    -0.50      0.0   10.41000.  5 B IN
C+          HC3N                    C3+         HCN                                 2.50E-10    -0.50      0.0   10.41000.  5 A IN
C6H3+       E-                      C6H2        H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C2H         C4H3+                   C6H3+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
He+         CO2                     CO          O+          He                      1.00E-10     0.00      0.0   10.41000.  5 A IN
H+          O                       O+          H                                   7.31E-10     0.23    225.9   10.10000.  5 B CE
C+          O2                      CO          O+                                  6.20E-10     0.00      0.0   10.41000.  5 A IN
SiC2H+      E-                      Si          C2H                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        C3N                     HC3N+       H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         C3N                     C3N+        He                                  8.20E-09    -0.50      0.0   10.41000.  5 C CE
C7H2+       E-                      C7H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C3H2+       C4H                     C7H2+       H                                   5.00E-10    -0.50      0.0   10.41000.  5 C IN
CH4         C5H2+                   C6H4+       H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
C3H2+       C3H3                    C6H4+       H                                   2.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H3        C4H2+                   C6H4+       H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
CH3+        C8H                     C9H2+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C4H3+       C5H                     C9H3+       H                                   2.00E-09    -0.50      0.0   10.41000.  5 C IN
Si+         C4H                     SiC4+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H4+       Si                      SiC2H2+     H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
CH2CN+      E-                      CN          CH2                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH2CN+      E-                      HCN         CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3+        CN                      CH2CN+      H                                   1.10E-09    -0.50      0.0   10.41000.  5 C IN
H+          CH2CN                   CH2CN+      H                                   6.30E-09    -0.50      0.0   10.  300.  5 C CE
S2+         E-                      S           S                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
H           HCO                     CO          H2                                  2.00E-10     0.00      0.0  300. 2500.  5 A NN
H2O         CNC+                    HCO+        HCN                                 1.63E-09    -0.50      0.0   10.41000.  5 B IN
HCN         H3CO+                   H2CO        HCNH+                               1.30E-09    -0.50      0.0   10.41000.  5 A IN
C2          CH4                     C3H3        H                                   1.50E-11     0.00      0.0   24.  300.  5 B NN
NH3         C2N+                    HCNH+       HCN                                 1.80E-09    -0.50      0.0   10.41000.  5 A IN
HCN         C2H3+                   HCNH+       C2H2                                2.90E-09    -0.50      0.0   10.41000.  5 A IN
CO          HN2+                    HCO+        N2                                  8.80E-10     0.00      0.0   10.41000.  5 A IN
HCNH+       H2S                     H3S+        HCN                                 1.70E-10    -0.50      0.0   10.41000.  5 A IN
HCNH+       H2S                     H3S+        HNC                                 1.70E-10    -0.50      0.0   10.41000.  5 A IN
S+          H2S                     S2+         H2                                  5.90E-10    -0.50      0.0   10.41000.  5 A IN
H2S         C2N+                    HCS+        HCN                                 1.20E-09    -0.50      0.0   10.41000.  5 A IN
S+          H2S                     HS2+        H                                   1.89E-10    -0.50      0.0   10.41000.  5 A IN
HNC         H3S+                    H2S         HCNH+                               1.50E-09    -0.50      0.0   10.41000.  5 C IN
He+         HCN                     N           CH+         He                      6.51E-10    -0.50      0.0   10.41000.  5 A IN
CO          HCO2+                   CO2         HCO+                                7.80E-10     0.00      0.0   10.41000.  5 C IN
CH5+        CO2                     HCO2+       CH4                                 3.20E-11     0.00      0.0   10.41000.  5 A IN
C2H3+       E-                      CH3         C                                   3.00E-09    -0.84      0.0   50. 1000.  5 A DR
HNC         H3CO+                   H2CO        HCNH+                               1.30E-09    -0.50      0.0   10.41000.  5 C IN
CH3+        CH3CHO                  H3CO+       C2H4                                1.98E-09    -0.50      0.0   10.41000.  5 A IN
HNC         C2H5+                   C2H4        HCNH+                               2.70E-09    -0.50      0.0   10.41000.  5 C IN
H2O         C2H5+                   C2H4        H3O+                                1.40E-09    -0.50      0.0   10.41000.  5 A IN
H           H3S+                    H2S+        H2                                  6.00E-11     0.00      0.0   10.41000.  5 C IN
CH4         S+                      HCS+        H2          H                       2.00E-11     0.00      0.0   10.41000.  5 A IN
S                                   S+          E-                                  1.30E-17     0.00    480.0   10.41000.  2 C CR
SiF+        E-                      Si          F                                   2.00E-07    -0.50      0.0   10.  300.  5 B DR
HF          Si+                     SiF+        H                                   5.70E-09    -0.50      0.0   10.41000.  5 A IN
He+         CO2                     O2+         C           He                      1.10E-11     0.00      0.0   10.41000.  5 A IN
H-          H                       H2          E-                                  1.30E-09     0.00      0.0   10.41000.  5 C AD
N           C2H3                    CH2CN       H                                   6.20E-11     0.00      0.0   10.  300.  5 C NN
H2O         H2S+                    HS          H3O+                                8.10E-10    -0.50      0.0   10.41000.  5 A IN
H           SiS+                    HS          Si+                                 1.90E-09     0.00      0.0   10.41000.  5 C IN
C2          S+                      CS+         C                                   8.10E-10     0.00      0.0   10.41000.  5 C IN
H3+         CS                      HCS+        H2                                  2.90E-09    -0.50      0.0   10.41000.  5 C IN
H3+         H2CS                    H3CS+       H2                                  2.80E-09    -0.50      0.0   10.41000.  5 C IN
